date,money market yield,continuous rate
1976-06-01,0.0726,0.06778965
1976-06-02,0.0723,0.06752762
1976-06-03,0.0722,0.06744024
1976-06-04,0.0712,0.06656566
1976-06-07,0.0709,0.06630298
1976-06-08,0.0711,0.06647811
1976-06-09,0.0708,0.06621539
1976-06-10,0.07,0.06551413
1976-06-11,0.0703,0.06577722
1976-06-14,0.0701,0.06560184
1976-06-15,0.0702,0.06568954
1976-06-16,0.0706,0.06604017
1976-06-17,0.0706,0.06604017
1976-06-18,0.0699,0.0654264
1976-06-21,0.0695,0.06507534
1976-06-22,0.0701,0.06560184
1976-06-23,0.0701,0.06560184
1976-06-24,0.0699,0.0654264
1976-06-25,0.0702,0.06568954
1976-06-28,0.0702,0.06568954
1976-06-29,0.0702,0.06568954
1976-06-30,0.0702,0.06568954
1976-07-01,0.0702,0.06568954
1976-07-02,0.0699,0.0654264
1976-07-06,0.0696,0.06516313
1976-07-07,0.0699,0.0654264
1976-07-08,0.0692,0.06481188
1976-07-09,0.0677,0.06349251
1976-07-12,0.0672,0.06305194
1976-07-13,0.0674,0.06322821
1976-07-14,0.0676,0.06340442
1976-07-15,0.0672,0.06305194
1976-07-16,0.0685,0.06419661
1976-07-19,0.0689,0.06454829
1976-07-20,0.0691,0.06472403
1976-07-21,0.069,0.06463617
1976-07-22,0.0691,0.06472403
1976-07-23,0.069,0.06463617
1976-07-26,0.0686,0.06428455
1976-07-27,0.0676,0.06340442
1976-07-28,0.0679,0.06366862
1976-07-29,0.0675,0.06331633
1976-07-30,0.0674,0.06322821
1976-08-02,0.0675,0.06331633
1976-08-03,0.0672,0.06305194
1976-08-04,0.0673,0.06314008
1976-08-05,0.0674,0.06322821
1976-08-06,0.0671,0.06296378
1976-08-09,0.0668,0.0626992
1976-08-10,0.0668,0.0626992
1976-08-11,0.0666,0.06252274
1976-08-12,0.0664,0.06234622
1976-08-13,0.066,0.06199299
1976-08-16,0.0657,0.0617279
1976-08-17,0.0657,0.0617279
1976-08-18,0.0659,0.06190464
1976-08-19,0.0661,0.06208132
1976-08-20,0.0668,0.0626992
1976-08-23,0.0662,0.06216964
1976-08-24,0.066,0.06199299
