date,money market yield,continuous rate
2001-07-31,0.0367,0.03664399
2001-08-01,0.0365,0.0364446
2001-08-02,0.0365,0.0364446
2001-08-03,0.0363,0.03624521
2001-08-06,0.0362,0.03614551
2001-08-07,0.0363,0.03624521
2001-08-08,0.0361,0.03604581
2001-08-09,0.0361,0.03604581
2001-08-10,0.0358,0.0357467
2001-08-13,0.0357,0.035647
2001-08-14,0.0354,0.03534789
2001-08-15,0.0352,0.03514847
2001-08-16,0.0348,0.03474964
2001-08-17,0.0346,0.03455021
2001-08-20,0.0348,0.03474964
2001-08-21,0.0346,0.03455021
2001-08-22,0.0346,0.03455021
2001-08-23,0.0349,0.03484935
2001-08-24,0.0349,0.03484935
2001-08-27,0.0352,0.03514847
2001-08-28,0.0353,0.03524818
2001-08-29,0.0348,0.03474964
2001-08-30,0.0341,0.03405164
2001-08-31,0.034,0.03395192
2001-09-04,0.0343,0.03425107
2001-09-05,0.0349,0.03484935
2001-09-06,0.0344,0.03435079
2001-09-07,0.034,0.03395192
2001-09-10,0.034,0.03395192
2001-09-13,0.0273,0.02726899
2001-09-14,0.0254,0.02537316
2001-09-17,0.0247,0.02467461
2001-09-18,0.0234,0.02337721
2001-09-19,0.02,0.01998335
2001-09-20,0.0204,0.02038268
2001-09-21,0.0212,0.0211813
2001-09-24,0.0238,0.02377643
2001-09-25,0.0258,0.0257723
2001-09-26,0.0251,0.02507379
2001-09-27,0.0234,0.02337721
2001-09-28,0.0228,0.02277837
2001-10-01,0.0226,0.02257875
2001-10-02,0.0227,0.02267856
2001-10-03,0.0221,0.02207967
2001-10-04,0.0222,0.02217949
2001-10-05,0.0221,0.02207967
2001-10-09,0.0224,0.02237912
2001-10-10,0.023,0.02297799
2001-10-11,0.023,0.02297799
2001-10-12,0.0231,0.02307779
2001-10-15,0.0233,0.02327741
2001-10-16,0.0232,0.0231776
2001-10-17,0.0234,0.02337721
2001-10-18,0.0228,0.02277837
2001-10-19,0.0229,0.02287818
2001-10-22,0.0229,0.02287818
2001-10-23,0.0232,0.0231776
2001-10-24,0.023,0.02297799
2001-10-25,0.0227,0.02267856
2001-10-26,0.0226,0.02257875
2001-10-29,0.0224,0.02237912
2001-10-30,0.0217,0.0216804
2001-10-31,0.0215,0.02148076
2001-11-01,0.0218,0.02178022
2001-11-02,0.0209,0.02088182
2001-11-05,0.0206,0.02058234
2001-11-06,0.0198,0.01978368
2001-11-07,0.0193,0.0192845
2001-11-08,0.0193,0.0192845
2001-11-09,0.0192,0.01918466
2001-11-13,0.0194,0.01938434
2001-11-14,0.0199,0.01988352
2001-11-15,0.0199,0.01988352
2001-11-16,0.0202,0.02018302
2001-11-19,0.0202,0.02018302
2001-11-20,0.0202,0.02018302
2001-11-21,0.02,0.01998335
2001-11-23,0.02,0.01998335
2001-11-26,0.02,0.01998335
2001-11-27,0.0201,0.02008319
2001-11-28,0.0196,0.01958401
2001-11-29,0.019,0.01898497
2001-11-30,0.0187,0.01868544
2001-12-03,0.0185,0.01848575
2001-12-04,0.0181,0.01808636
2001-12-05,0.0177,0.01768696
2001-12-06,0.0173,0.01728754
2001-12-07,0.0169,0.01688811
2001-12-10,0.0168,0.01678825
2001-12-11,0.0166,0.01658853
2001-12-12,0.0169,0.01688811
2001-12-13,0.0169,0.01688811
2001-12-14,0.017,0.01698797
2001-12-17,0.0172,0.01718769
2001-12-18,0.0172,0.01718769
2001-12-19,0.0169,0.01688811
2001-12-20,0.0167,0.01668839
2001-12-21,0.0167,0.01668839
2001-12-24,0.0166,0.01658853
2001-12-26,0.0177,0.01768696
2001-12-27,0.0175,0.01748725
2001-12-28,0.0173,0.01728754
2001-12-31,0.0168,0.01678825
2002-01-02,0.0173,0.01728754
2002-01-03,0.0173,0.01728754
2002-01-04,0.0172,0.01718769
2002-01-07,0.017,0.01698797
2002-01-08,0.017,0.01698797
2002-01-09,0.0168,0.01678825
2002-01-10,0.0166,0.01658853
2002-01-11,0.0162,0.01618907
2002-01-14,0.0162,0.01618907
2002-01-15,0.0164,0.0163888
2002-01-16,0.0162,0.01618907
2002-01-17,0.016,0.01598934
2002-01-18,0.0159,0.01588948
2002-01-22,0.0167,0.01668839
2002-01-23,0.017,0.01698797
2002-01-24,0.0169,0.01688811
2002-01-25,0.0169,0.01688811
2002-01-28,0.0171,0.01708783
2002-01-29,0.0172,0.01718769
2002-01-30,0.017,0.01698797
2002-01-31,0.0169,0.01688811
2002-02-01,0.0169,0.01688811
2002-02-04,0.017,0.01698797
2002-02-05,0.0174,0.0173874
2002-02-06,0.0173,0.01728754
2002-02-07,0.0171,0.01708783
2002-02-08,0.0169,0.01688811
2002-02-11,0.0173,0.01728754
2002-02-12,0.0176,0.01758711
2002-02-13,0.0175,0.01748725
2002-02-14,0.0175,0.01748725
2002-02-15,0.0172,0.01718769
2002-02-19,0.0173,0.01728754
2002-02-20,0.0175,0.01748725
2002-02-21,0.0176,0.01758711
2002-02-22,0.0175,0.01748725
2002-02-25,0.0176,0.01758711
2002-02-26,0.0178,0.01778681
2002-02-27,0.0177,0.01768696
2002-02-28,0.0176,0.01758711
2002-03-01,0.0178,0.01778681
2002-03-04,0.0177,0.01768696
2002-03-05,0.0178,0.01778681
2002-03-06,0.0177,0.01768696
2002-03-07,0.0177,0.01768696
2002-03-08,0.0177,0.01768696
2002-03-11,0.018,0.01798651
2002-03-12,0.0182,0.01818621
2002-03-13,0.018,0.01798651
2002-03-14,0.0179,0.01788666
2002-03-15,0.0179,0.01788666
2002-03-18,0.0177,0.01768696
2002-03-19,0.0181,0.01808636
2002-03-20,0.0179,0.01788666
2002-03-21,0.0178,0.01778681
2002-03-22,0.0178,0.01778681
2002-03-25,0.0178,0.01778681
2002-03-26,0.0182,0.01818621
2002-03-27,0.0177,0.01768696
2002-03-28,0.0176,0.01758711
2002-04-01,0.0179,0.01788666
2002-04-02,0.0179,0.01788666
2002-04-03,0.0177,0.01768696
2002-04-04,0.0177,0.01768696
2002-04-05,0.0176,0.01758711
2002-04-08,0.0176,0.01758711
2002-04-09,0.0173,0.01728754
2002-04-10,0.0172,0.01718769
2002-04-11,0.0172,0.01718769
2002-04-12,0.0171,0.01708783
2002-04-15,0.0171,0.01708783
2002-04-16,0.0171,0.01708783
2002-04-17,0.0171,0.01708783
2002-04-18,0.017,0.01698797
2002-04-19,0.0169,0.01688811
