,0,1,2,3,4
0,100.0,17.95,36.0,,0.0
1,101.0,16.95,36.0,,0.0
2,102.0,16.45,9.0,,0.0
3,103.0,15.45,36.0,,0.0
4,104.0,14.5,36.0,,0.0
5,105.0,13.35,36.0,,0.0
6,106.0,12.55,36.0,0.01,115.0
7,107.0,11.45,36.0,0.01,108.0
8,108.0,10.6,36.0,0.03,80.0
9,109.0,9.55,13.0,0.12,20.0
10,110.0,8.55,38.0,0.15,17.0
11,111.0,7.7,40.0,0.2,46.0
12,112.0,6.7,20.0,0.27,13.0
13,113.0,5.9,23.0,0.35,33.0
14,114.0,4.95,52.0,0.46,10.0
15,115.0,4.2,13.0,0.61,6.0
16,116.0,3.4,35.0,0.81,10.0
17,117.0,2.69,8.0,1.07,33.0
18,118.0,2.05,10.0,1.41,22.0
19,119.0,1.48,24.0,1.85,20.0
20,120.0,1.02,9.0,2.38,11.0
21,121.0,0.66,25.0,3.0,15.0
22,122.0,0.41,10.0,3.75,9.0
23,123.0,0.23,60.0,4.5,40.0
24,124.0,0.12,67.0,5.35,38.0
25,125.0,0.05,127.0,6.35,36.0
26,126.0,0.02,54.0,7.3,9.0
27,127.0,,0.0,8.3,36.0
28,128.0,,0.0,9.25,6.0
29,129.0,,0.0,10.3,36.0
30,130.0,,0.0,11.25,36.0
31,131.0,,0.0,12.3,36.0
32,132.0,,0.0,13.25,36.0
33,133.0,,0.0,14.25,36.0
34,134.0,,0.0,15.3,36.0
35,135.0,,0.0,16.3,36.0
36,140.0,,0.0,21.35,36.0
