,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,95.0,22.95,2.0,23.45,30.0,0.0,0.0,0.45,44.0
1,100.0,18.0,7.0,18.55,30.0,0.0,0.0,0.22,57.0
2,102.0,16.05,1.0,16.6,30.0,0.08,62.0,0.46,61.0
3,103.0,15.1,1.0,15.65,30.0,0.18,31.0,0.23,49.0
4,104.0,14.15,1.0,14.65,12.0,0.21,22.0,0.27,40.0
5,105.0,13.2,2.0,13.75,12.0,0.25,10.0,0.3,40.0
6,106.0,12.25,20.0,12.8,34.0,0.3,30.0,0.35,40.0
7,107.0,11.3,3.0,11.7,12.0,0.35,20.0,0.41,49.0
8,108.0,10.4,31.0,10.85,31.0,0.41,20.0,0.47,40.0
9,109.0,9.55,10.0,9.9,20.0,0.51,18.0,0.55,45.0
10,110.0,8.65,21.0,9.0,55.0,0.59,30.0,0.66,49.0
11,111.0,7.7,31.0,8.1,31.0,0.7,20.0,0.78,49.0
12,112.0,6.9,21.0,7.2,21.0,0.85,22.0,0.93,49.0
13,113.0,6.05,4.0,6.4,20.0,1.01,24.0,1.1,40.0
14,114.0,5.3,31.0,5.55,31.0,1.22,33.0,1.31,45.0
15,115.0,4.55,3.0,4.85,31.0,1.46,3.0,1.57,40.0
16,116.0,3.8,20.0,4.1,12.0,1.72,12.0,1.87,45.0
17,117.0,3.15,13.0,3.45,20.0,2.13,2.0,2.17,10.0
18,118.0,2.64,23.0,2.86,40.0,2.49,31.0,2.63,43.0
19,119.0,2.11,21.0,2.3,43.0,2.98,10.0,3.05,10.0
20,120.0,1.69,21.0,1.77,15.0,3.45,20.0,3.7,10.0
21,121.0,1.29,21.0,1.37,13.0,4.05,20.0,4.3,10.0
22,122.0,0.96,21.0,1.06,5.0,4.75,3.0,5.0,31.0
23,123.0,0.69,12.0,0.8,22.0,5.45,20.0,5.75,3.0
24,124.0,0.49,12.0,0.57,45.0,6.25,21.0,6.55,12.0
25,125.0,0.34,34.0,0.41,49.0,7.1,30.0,7.45,12.0
26,126.0,0.23,31.0,0.28,49.0,7.95,39.0,8.4,30.0
27,127.0,0.15,30.0,0.2,49.0,8.85,30.0,9.4,30.0
28,128.0,0.09,33.0,0.14,49.0,9.8,30.0,10.4,30.0
29,129.0,0.06,14.0,0.13,53.0,10.75,30.0,11.3,3.0
30,130.0,0.02,12.0,0.33,70.0,11.7,30.0,12.35,30.0
31,131.0,0.0,0.0,2.17,42.0,12.7,30.0,13.35,30.0
32,132.0,0.0,0.0,2.16,42.0,13.5,30.0,14.4,30.0
33,135.0,0.0,0.0,0.5,58.0,16.25,30.0,17.4,30.0
