,0,1,2,3,4
0,105.0,29.45,1.0,,0.0
1,110.0,24.1,30.0,,0.0
2,112.0,22.1,30.0,,0.0
3,113.0,21.1,30.0,,0.0
4,114.0,20.1,30.0,,0.0
5,115.0,19.1,30.0,,0.0
6,116.0,18.45,1.0,,0.0
7,117.0,17.7,30.0,,0.0
8,118.0,16.9,1.0,,0.0
9,119.0,15.6,1.0,,0.0
10,120.0,15.05,1.0,,0.0
11,121.0,13.6,1.0,,0.0
12,122.0,12.9,1.0,,0.0
13,123.0,11.95,1.0,,0.0
14,124.0,10.95,1.0,,0.0
15,125.0,11.25,47.0,,0.0
16,126.0,10.2,30.0,,0.0
17,127.0,7.85,1.0,,0.0
18,128.0,8.25,20.0,,0.0
19,129.0,7.1,30.0,,0.0
20,130.0,6.35,46.0,0.01,2.0
21,131.0,5.35,66.0,0.02,1.0
22,132.0,4.35,10.0,0.01,20.0
23,133.0,3.35,21.0,0.02,2.0
24,134.0,2.43,40.0,0.05,11.0
25,135.0,1.49,82.0,0.09,1.0
26,136.0,0.73,4.0,0.29,1.0
27,137.0,0.23,87.0,0.76,11.0
28,138.0,0.04,46.0,1.53,11.0
29,139.0,,0.0,2.33,12.0
30,140.0,,0.0,3.25,36.0
31,141.0,,0.0,4.25,15.0
32,142.0,,0.0,4.95,30.0
33,143.0,,0.0,5.2,8.0
34,144.0,,0.0,5.95,1.0
35,145.0,,0.0,7.0,1.0
36,146.0,,0.0,8.1,8.0
37,147.0,,0.0,8.85,1.0
38,148.0,,0.0,9.8,1.0
39,149.0,,0.0,11.1,1.0
40,150.0,,0.0,11.85,1.0
41,152.5,,0.0,13.9,1.0
42,155.0,,0.0,16.7,1.0
