,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,115.0,23.5,31.0,28.05,10.0,0.0,0.0,0.21,137.0
1,120.0,19.2,30.0,21.55,30.0,0.01,6.0,0.34,174.0
2,124.0,14.85,30.0,18.95,30.0,0.0,0.0,0.45,174.0
3,125.0,14.0,30.0,18.1,10.0,0.16,35.0,0.23,54.0
4,126.0,13.7,35.0,16.45,35.0,0.2,25.0,0.25,35.0
5,127.0,12.15,36.0,16.15,34.0,0.23,49.0,0.28,54.0
6,128.0,12.2,36.0,14.5,10.0,0.28,19.0,0.32,54.0
7,129.0,11.8,7.0,12.85,38.0,0.32,44.0,0.37,35.0
8,130.0,10.9,35.0,12.05,45.0,0.37,39.0,0.42,49.0
9,131.0,10.0,20.0,10.35,20.0,0.44,54.0,0.49,42.0
10,132.0,9.15,12.0,9.4,7.0,0.51,54.0,0.57,26.0
11,133.0,8.2,14.0,8.5,30.0,0.6,35.0,0.67,36.0
12,134.0,7.3,30.0,7.65,56.0,0.69,35.0,0.77,13.0
13,135.0,6.45,15.0,6.8,59.0,0.85,44.0,0.89,19.0
14,136.0,5.7,20.0,5.95,43.0,0.99,34.0,1.08,9.0
15,137.0,4.85,2.0,5.1,16.0,1.19,34.0,1.29,11.0
16,138.0,4.15,18.0,4.35,30.0,1.42,25.0,1.53,11.0
17,139.0,3.4,20.0,3.65,45.0,1.73,38.0,1.8,19.0
18,140.0,2.81,4.0,2.9,12.0,2.09,20.0,2.16,16.0
19,141.0,2.24,19.0,2.32,22.0,2.51,16.0,2.58,19.0
20,142.0,1.74,26.0,1.81,21.0,2.89,30.0,3.2,21.0
21,143.0,1.32,35.0,1.38,22.0,3.5,30.0,3.75,30.0
22,144.0,0.97,38.0,1.03,21.0,4.15,30.0,4.45,30.0
23,145.0,0.69,39.0,0.78,30.0,4.85,40.0,5.15,50.0
24,146.0,0.49,16.0,0.54,26.0,5.65,51.0,5.95,45.0
25,147.0,0.32,35.0,0.39,30.0,6.55,45.0,6.95,336.0
26,148.0,0.21,38.0,0.26,54.0,7.3,206.0,7.9,47.0
27,149.0,0.14,19.0,0.18,35.0,7.1,30.0,10.55,12.0
28,150.0,0.08,48.0,0.13,54.0,7.8,10.0,11.5,10.0
29,152.5,0.0,0.0,0.16,267.0,9.85,10.0,14.25,10.0
30,155.0,0.0,0.0,0.1,94.0,12.35,30.0,16.5,15.0
31,157.5,0.0,0.0,0.08,70.0,14.75,10.0,19.05,10.0
32,160.0,0.0,0.0,0.07,70.0,17.35,9.0,21.55,30.0
