,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,115.0,19.95,21.0,23.95,4.0,0.0,0.0,0.12,228.0
1,117.0,18.0,31.0,21.7,57.0,0.01,5.0,0.16,242.0
2,118.0,16.95,21.0,20.8,57.0,0.0,0.0,0.19,225.0
3,119.0,16.4,21.0,18.2,13.0,0.0,0.0,0.2,219.0
4,120.0,16.05,7.0,19.1,57.0,0.0,0.0,0.24,404.0
5,121.0,14.7,9.0,17.1,10.0,0.0,0.0,0.17,393.0
6,122.0,14.35,9.0,15.4,3.0,0.0,0.0,0.29,418.0
7,123.0,13.5,31.0,15.4,31.0,0.0,0.0,0.12,164.0
8,124.0,12.15,12.0,14.05,17.0,0.0,0.0,0.34,429.0
9,125.0,11.5,18.0,12.65,10.0,0.1,22.0,0.13,79.0
10,126.0,10.25,23.0,11.7,11.0,0.11,46.0,0.16,87.0
11,127.0,9.6,4.0,11.35,16.0,0.15,56.0,0.18,89.0
12,128.0,9.0,287.0,9.4,30.0,0.18,107.0,0.21,58.0
13,129.0,8.0,292.0,8.45,44.0,0.23,52.0,0.26,75.0
14,130.0,7.25,67.0,7.45,47.0,0.29,25.0,0.32,72.0
15,131.0,6.35,147.0,6.55,105.0,0.37,30.0,0.39,71.0
16,132.0,5.45,66.0,5.65,90.0,0.46,108.0,0.5,75.0
17,133.0,4.65,44.0,4.75,48.0,0.6,47.0,0.63,67.0
18,134.0,3.8,100.0,3.95,46.0,0.77,66.0,0.81,49.0
19,135.0,3.05,146.0,3.15,68.0,1.01,30.0,1.05,122.0
20,136.0,2.39,25.0,2.45,65.0,1.31,40.0,1.36,71.0
21,137.0,1.78,84.0,1.84,45.0,1.71,16.0,1.76,70.0
22,138.0,1.28,11.0,1.32,14.0,2.19,54.0,2.25,52.0
23,139.0,0.87,23.0,0.91,39.0,2.78,26.0,2.85,45.0
24,140.0,0.56,33.0,0.6,57.0,3.45,43.0,3.55,41.0
25,141.0,0.35,22.0,0.38,79.0,4.25,58.0,4.45,213.0
26,142.0,0.2,91.0,0.23,39.0,5.1,246.0,5.3,125.0
27,143.0,0.11,163.0,0.14,28.0,6.0,229.0,6.45,346.0
28,144.0,0.06,212.0,0.11,79.0,6.5,31.0,8.95,57.0
29,145.0,0.0,0.0,0.1,1.0,6.25,2.0,9.95,4.0
30,146.0,0.0,0.0,0.17,747.0,7.1,3.0,11.0,4.0
31,147.0,0.0,0.0,0.13,595.0,8.35,11.0,11.95,16.0
32,148.0,0.0,0.0,0.11,75.0,9.05,3.0,13.05,4.0
33,150.0,0.0,0.0,0.09,230.0,11.2,3.0,14.9,2.0
34,155.0,0.0,0.0,0.06,230.0,16.35,2.0,19.95,4.0
