date,close,dividend amount
2016-09-09,194.47,0.0
2016-09-12,198.3,0.0
2016-09-13,196.05,0.0
2016-09-14,196.41,0.0
2016-09-15,200.42,0.0
2016-09-16,205.4,0.0
2016-09-19,206.34,0.0
2016-09-20,204.64,0.0
2016-09-21,205.22,0.0
2016-09-22,206.43,0.0
2016-09-23,207.45,0.0
2016-09-26,208.99,0.0
2016-09-27,205.81,0.0
2016-09-28,206.27,0.0
2016-09-29,200.7,0.0
2016-09-30,204.03,0.0
2016-10-03,213.7,0.0
2016-10-04,211.41,0.0
2016-10-05,208.46,0.0
2016-10-06,201.0,0.0
2016-10-07,196.61,0.0
2016-10-10,200.95,0.0
2016-10-11,200.1,0.0
2016-10-12,201.51,0.0
2016-10-13,200.24,0.0
2016-10-14,196.51,0.0
2016-10-17,193.96,0.0
2016-10-18,199.1,0.0
2016-10-19,203.56,0.0
2016-10-20,199.1,0.0
2016-10-21,200.09,0.0
2016-10-24,202.76,0.0
2016-10-25,202.34,0.0
2016-10-26,202.24,0.0
2016-10-27,204.01,0.0
2016-10-28,199.97,0.0
2016-10-31,197.73,0.0
2016-11-01,190.79,0.0
2016-11-02,188.02,0.0
2016-11-03,187.42,0.0
2016-11-04,190.56,0.0
2016-11-07,193.21,0.0
2016-11-08,194.94,0.0
2016-11-09,190.06,0.0
2016-11-10,185.35,0.0
2016-11-11,188.56,0.0
2016-11-14,181.45,0.0
2016-11-15,183.77,0.0
2016-11-16,183.93,0.0
2016-11-17,188.66,0.0
2016-11-18,185.02,0.0
2016-11-21,184.52,0.0
2016-11-22,191.17,0.0
2016-11-23,193.14,0.0
2016-11-25,196.65,0.0
2016-11-28,196.12,0.0
2016-11-29,189.57,0.0
2016-11-30,189.4,0.0
2016-12-01,181.88,0.0
2016-12-02,181.47,0.0
2016-12-05,186.8,0.0
2016-12-06,185.85,0.0
2016-12-07,193.15,0.0
2016-12-08,192.29,0.0
2016-12-09,192.18,0.0
2016-12-12,192.43,0.0
2016-12-13,198.15,0.0
2016-12-14,198.69,0.0
2016-12-15,197.58,0.0
2016-12-16,202.49,0.0
2016-12-19,202.73,0.0
2016-12-20,208.79,0.0
2016-12-21,207.7,0.0
2016-12-22,208.45,0.0
2016-12-23,213.34,0.0
2016-12-27,219.53,0.0
2016-12-28,219.74,0.0
2016-12-29,214.68,0.0
2016-12-30,213.69,0.0
2017-01-03,216.99,0.0
2017-01-04,226.99,0.0
2017-01-05,226.75,0.0
2017-01-06,229.01,0.0
2017-01-09,231.28,0.0
2017-01-10,229.87,0.0
2017-01-11,229.73,0.0
2017-01-12,229.59,0.0
2017-01-13,237.75,0.0
2017-01-17,235.58,0.0
2017-01-18,238.36,0.0
2017-01-19,243.76,0.0
2017-01-20,244.73,0.0
2017-01-23,248.92,0.0
2017-01-24,254.61,0.0
2017-01-25,254.47,0.0
2017-01-26,252.51,0.0
2017-01-27,252.95,0.0
2017-01-30,250.63,0.0
2017-01-31,251.93,0.0
2017-02-01,249.24,0.0
2017-02-02,251.55,0.0
2017-02-03,251.33,0.0
2017-02-06,257.77,0.0
2017-02-07,257.48,0.0
2017-02-08,262.08,0.0
2017-02-09,269.2,0.0
2017-02-10,269.23,0.0
2017-02-13,280.6,0.0
2017-02-14,280.98,0.0
2017-02-15,279.76,0.0
2017-02-16,268.95,0.0
2017-02-17,272.23,0.0
2017-02-21,277.39,0.0
2017-02-22,273.51,0.0
2017-02-23,255.99,0.0
2017-02-24,257.0,0.0
2017-02-27,246.23,0.0
2017-02-28,249.99,0.0
2017-03-01,250.02,0.0
2017-03-02,250.48,0.0
2017-03-03,251.57,0.0
2017-03-06,251.21,0.0
2017-03-07,248.59,0.0
2017-03-08,246.87,0.0
2017-03-09,244.9,0.0
2017-03-10,243.69,0.0
2017-03-13,246.17,0.0
2017-03-14,258.0,0.0
2017-03-15,255.73,0.0
2017-03-16,262.05,0.0
2017-03-17,261.5,0.0
2017-03-20,261.92,0.0
2017-03-21,250.68,0.0
2017-03-22,255.01,0.0
2017-03-23,254.78,0.0
2017-03-24,263.16,0.0
2017-03-27,270.22,0.0
2017-03-28,277.45,0.0
2017-03-29,277.38,0.0
2017-03-30,277.92,0.0
2017-03-31,278.3,0.0
2017-04-03,298.52,0.0
2017-04-04,303.7,0.0
2017-04-05,295.0,0.0
2017-04-06,298.7,0.0
2017-04-07,302.54,0.0
2017-04-10,312.39,0.0
2017-04-11,308.71,0.0
2017-04-12,296.84,0.0
2017-04-13,304.0,0.0
2017-04-17,301.44,0.0
2017-04-18,300.25,0.0
2017-04-19,305.52,0.0
2017-04-20,302.51,0.0
2017-04-21,305.6,0.0
2017-04-24,308.03,0.0
2017-04-25,313.79,0.0
2017-04-26,310.17,0.0
2017-04-27,308.63,0.0
2017-04-28,314.07,0.0
2017-05-01,322.83,0.0
2017-05-02,318.89,0.0
2017-05-03,311.02,0.0
2017-05-04,295.46,0.0
2017-05-05,308.35,0.0
2017-05-08,307.19,0.0
2017-05-09,321.26,0.0
2017-05-10,325.22,0.0
2017-05-11,323.1,0.0
2017-05-12,324.81,0.0
2017-05-15,315.88,0.0
2017-05-16,317.01,0.0
2017-05-17,306.11,0.0
2017-05-18,313.06,0.0
2017-05-19,310.83,0.0
2017-05-22,310.35,0.0
2017-05-23,303.86,0.0
2017-05-24,310.22,0.0
2017-05-25,316.83,0.0
2017-05-26,325.14,0.0
2017-05-30,335.1,0.0
2017-05-31,341.01,0.0
2017-06-01,340.37,0.0
2017-06-02,339.85,0.0
2017-06-05,347.32,0.0
2017-06-06,352.85,0.0
2017-06-07,359.65,0.0
2017-06-08,370.0,0.0
2017-06-09,357.32,0.0
2017-06-12,359.01,0.0
2017-06-13,375.95,0.0
2017-06-14,380.66,0.0
2017-06-15,375.34,0.0
2017-06-16,371.4,0.0
2017-06-19,369.8,0.0
2017-06-20,372.24,0.0
2017-06-21,376.4,0.0
2017-06-22,382.61,0.0
2017-06-23,383.45,0.0
2017-06-26,377.49,0.0
2017-06-27,362.37,0.0
2017-06-28,371.24,0.0
2017-06-29,360.75,0.0
2017-06-30,361.61,0.0
2017-07-03,352.62,0.0
2017-07-05,327.09,0.0
2017-07-06,308.83,0.0
2017-07-07,313.22,0.0
2017-07-10,316.05,0.0
2017-07-11,327.22,0.0
2017-07-12,329.52,0.0
2017-07-13,323.41,0.0
2017-07-14,327.78,0.0
2017-07-17,319.57,0.0
2017-07-18,328.24,0.0
2017-07-19,325.26,0.0
2017-07-20,329.92,0.0
2017-07-21,328.4,0.0
2017-07-24,342.52,0.0
2017-07-25,339.6,0.0
2017-07-26,343.85,0.0
2017-07-27,334.46,0.0
2017-07-28,335.07,0.0
2017-07-31,323.47,0.0
