,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,70.0,12.45,2.0,16.5,2.0,0.0,0.0,0.23,588.0
1,75.0,8.75,7.0,11.3,31.0,0.14,69.0,0.17,55.0
2,78.0,6.3,21.0,6.9,15.0,0.28,63.0,0.32,99.0
3,79.0,5.65,46.0,5.85,99.0,0.36,113.0,0.4,99.0
4,79.5,4.75,321.0,5.4,158.0,0.42,113.0,0.46,104.0
5,80.0,4.8,47.0,4.95,119.0,0.47,114.0,0.55,191.0
6,80.5,3.9,195.0,4.5,38.0,0.53,99.0,0.59,39.0
7,81.0,3.95,49.0,4.1,130.0,0.63,114.0,0.69,177.0
8,81.5,3.5,51.0,3.7,155.0,0.71,83.0,0.77,51.0
9,82.0,3.15,39.0,3.35,402.0,0.82,106.0,0.94,142.0
10,82.5,2.69,53.0,2.93,184.0,0.93,72.0,1.02,89.0
11,83.0,2.33,31.0,2.59,298.0,1.09,95.0,1.19,144.0
12,83.5,2.07,53.0,2.26,349.0,1.25,94.0,1.54,262.0
13,84.0,1.67,64.0,1.93,233.0,1.48,23.0,1.55,114.0
14,84.5,1.48,69.0,1.64,271.0,1.65,51.0,2.06,309.0
15,85.0,1.26,19.0,1.38,131.0,1.88,52.0,2.28,366.0
16,85.5,0.91,91.0,1.21,451.0,2.14,55.0,2.59,23.0
17,86.0,0.82,66.0,0.94,207.0,2.44,53.0,2.64,142.0
18,86.5,0.66,72.0,0.75,125.0,2.75,14.0,2.99,113.0
19,87.0,0.34,317.0,0.59,109.0,2.81,159.0,3.5,158.0
20,87.5,0.42,3.0,0.46,68.0,3.45,51.0,3.8,396.0
21,88.0,0.31,101.0,0.36,116.0,3.9,36.0,4.15,191.0
22,88.5,0.23,71.0,0.27,83.0,4.3,50.0,4.95,397.0
23,89.0,0.17,97.0,0.21,105.0,4.5,31.0,5.3,69.0
24,89.5,0.12,106.0,0.16,99.0,4.8,5.0,5.55,80.0
25,90.0,0.09,65.0,0.12,90.0,4.95,39.0,6.55,70.0
26,90.5,0.05,153.0,0.09,57.0,4.8,31.0,7.45,77.0
27,91.0,0.0,0.0,0.1,346.0,5.75,35.0,8.4,69.0
28,91.5,0.03,31.0,0.62,415.0,6.85,14.0,7.9,69.0
29,92.0,0.0,0.0,0.74,593.0,5.95,2.0,9.35,2.0
30,95.0,0.0,0.0,0.62,139.0,9.2,31.0,11.7,31.0
