,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,30.0,54.15,10.0,54.5,10.0,0.0,0.0,0.02,51.0
1,32.5,51.65,10.0,52.0,44.0,0.0,0.0,0.02,51.0
2,35.0,49.15,10.0,49.5,37.0,0.0,0.0,0.02,77.0
3,37.5,46.65,4.0,47.0,69.0,0.0,0.0,0.02,136.0
4,40.0,44.15,10.0,44.5,37.0,0.0,0.0,0.02,51.0
5,42.5,41.65,4.0,42.0,12.0,0.0,0.0,0.02,28.0
6,45.0,39.15,11.0,39.5,36.0,0.0,0.0,0.02,26.0
7,47.5,36.7,5.0,37.05,41.0,0.0,0.0,0.02,26.0
8,50.0,34.2,10.0,34.55,75.0,0.0,0.0,0.02,29.0
9,52.5,31.7,11.0,32.05,83.0,0.0,0.0,0.02,25.0
10,55.0,29.2,11.0,29.55,83.0,0.0,0.0,0.02,36.0
11,57.5,26.7,11.0,27.05,72.0,0.01,10.0,0.05,26.0
12,60.0,24.2,11.0,24.55,64.0,0.02,75.0,0.03,25.0
13,62.5,21.7,25.0,22.1,31.0,0.03,121.0,0.09,304.0
14,65.0,19.2,31.0,19.6,72.0,0.05,42.0,0.12,131.0
15,67.5,16.7,31.0,17.15,2.0,0.06,73.0,0.12,332.0
16,70.0,14.25,15.0,14.7,3.0,0.1,43.0,0.14,63.0
17,72.5,11.8,15.0,12.2,3.0,0.16,43.0,0.19,44.0
18,75.0,9.3,31.0,9.8,78.0,0.25,60.0,0.28,39.0
19,77.5,7.05,224.0,7.35,415.0,0.41,30.0,0.44,3.0
20,80.0,4.9,52.0,5.1,321.0,0.72,24.0,0.77,61.0
21,82.5,2.96,50.0,3.1,428.0,1.29,1.0,1.34,11.0
22,85.0,1.48,3.0,1.54,12.0,2.3,54.0,2.41,193.0
23,87.5,0.57,11.0,0.6,12.0,3.9,53.0,4.05,153.0
24,90.0,0.17,60.0,0.2,49.0,5.9,12.0,6.4,216.0
25,92.5,0.03,149.0,0.08,122.0,8.3,57.0,8.7,189.0
26,95.0,0.01,198.0,0.06,531.0,10.75,55.0,11.1,84.0
27,97.5,0.01,3.0,0.03,26.0,13.25,36.0,13.6,11.0
28,100.0,0.0,0.0,0.02,28.0,15.75,36.0,16.1,10.0
29,105.0,0.0,0.0,0.01,50.0,20.75,4.0,21.1,21.0
30,110.0,0.0,0.0,0.02,51.0,25.7,11.0,26.05,10.0
31,115.0,0.0,0.0,0.02,120.0,30.7,10.0,31.05,12.0
32,120.0,0.0,0.0,0.02,106.0,35.7,36.0,36.05,10.0
