,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,70.0,74.2,1.0,78.7,10.0,0.0,0.0,0.06,30.0
1,75.0,69.2,2.0,73.8,31.0,0.0,0.0,0.06,30.0
2,80.0,64.25,2.0,68.8,31.0,0.0,0.0,0.06,30.0
3,85.0,59.25,10.0,63.8,1.0,0.0,0.0,0.09,30.0
4,90.0,54.3,1.0,58.75,10.0,0.0,0.0,0.13,108.0
5,95.0,49.35,10.0,53.9,20.0,0.0,0.0,0.21,90.0
6,100.0,44.35,2.0,48.9,21.0,0.0,0.0,0.32,90.0
7,105.0,39.45,10.0,44.0,31.0,0.0,0.0,0.34,320.0
8,110.0,34.5,2.0,39.0,21.0,0.16,78.0,0.4,407.0
9,115.0,29.6,20.0,34.0,21.0,0.27,107.0,0.51,469.0
10,120.0,24.75,20.0,29.3,10.0,0.5,8.0,0.6,69.0
11,125.0,20.9,21.0,23.55,25.0,0.75,34.0,0.89,178.0
12,130.0,16.8,345.0,18.6,329.0,1.15,96.0,1.33,148.0
13,135.0,12.3,251.0,13.6,97.0,1.83,140.0,2.06,147.0
14,140.0,9.05,31.0,9.8,222.0,2.98,112.0,3.35,228.0
15,145.0,5.75,84.0,6.15,46.0,4.45,441.0,5.1,302.0
16,150.0,3.3,55.0,3.55,31.0,7.1,230.0,8.35,593.0
17,155.0,1.65,50.0,1.82,46.0,10.35,217.0,11.25,466.0
18,160.0,0.71,15.0,0.81,31.0,14.3,329.0,15.35,533.0
19,165.0,0.26,45.0,0.32,20.0,18.3,30.0,20.4,12.0
20,170.0,0.0,0.0,0.26,331.0,21.85,1.0,26.4,1.0
21,175.0,0.0,0.0,0.19,235.0,26.8,1.0,31.35,3.0
