date,dividend
1999-11-01,0.27
1999-11-02,0.275
1999-11-03,0.28
1999-11-04,0.28500000000000003
1999-11-05,0.29000000000000004
1999-11-08,0.295
1999-11-09,0.30000000000000004
1999-11-10,0.305
1999-11-11,0.31000000000000005
1999-11-12,0.315
1999-11-15,0.32
1999-11-16,0.325
1999-11-17,0.005241935483870968
1999-11-18,0.010483870967741936
1999-11-19,0.015725806451612902
1999-11-22,0.020967741935483872
1999-11-23,0.02620967741935484
1999-11-24,0.031451612903225803
1999-11-26,0.03669354838709678
1999-11-29,0.041935483870967745
1999-11-30,0.04717741935483871
1999-12-01,0.05241935483870968
1999-12-02,0.05766129032258065
1999-12-03,0.06290322580645161
1999-12-06,0.06814516129032258
1999-12-07,0.07338709677419356
1999-12-08,0.07862903225806452
1999-12-09,0.08387096774193549
1999-12-10,0.08911290322580645
1999-12-13,0.09435483870967742
1999-12-14,0.0995967741935484
1999-12-15,0.10483870967741936
1999-12-16,0.11008064516129032
1999-12-17,0.1153225806451613
1999-12-20,0.12056451612903227
1999-12-21,0.12580645161290321
1999-12-22,0.1310483870967742
1999-12-23,0.13629032258064516
1999-12-27,0.14153225806451614
1999-12-28,0.1467741935483871
1999-12-29,0.15201612903225806
1999-12-30,0.15725806451612903
1999-12-31,0.1625
2000-01-03,0.16774193548387098
2000-01-04,0.17298387096774193
2000-01-05,0.1782258064516129
2000-01-06,0.1834677419354839
2000-01-07,0.18870967741935485
2000-01-10,0.19395161290322582
2000-01-11,0.1991935483870968
2000-01-12,0.20443548387096774
2000-01-13,0.20967741935483872
2000-01-14,0.21491935483870966
2000-01-18,0.22016129032258064
2000-01-19,0.22540322580645164
2000-01-20,0.2306451612903226
2000-01-21,0.23588709677419356
2000-01-24,0.24112903225806454
2000-01-25,0.24637096774193548
2000-01-26,0.25161290322580643
2000-01-27,0.2568548387096774
2000-01-28,0.2620967741935484
2000-01-31,0.2673387096774194
2000-02-01,0.2725806451612903
2000-02-02,0.2778225806451613
