,0,1,2,3,4
0,31.0,7.7,6.0,,0.0
1,32.0,6.7,7.0,,0.0
2,32.5,6.2,9.0,,0.0
3,33.0,5.7,69.0,,0.0
4,33.5,5.2,28.0,,0.0
5,34.0,4.7,210.0,0.01,96.0
6,34.5,4.2,197.0,,0.0
7,35.0,3.7,204.0,,0.0
8,35.5,3.2,86.0,,0.0
9,36.0,2.76,43.0,0.03,550.0
10,36.5,2.29,21.0,0.06,332.0
11,37.0,1.84,117.0,0.11,92.0
12,37.5,1.41,47.0,0.17,315.0
13,38.0,1.02,51.0,0.28,381.0
14,38.5,0.68,98.0,0.43,306.0
15,39.0,0.41,249.0,0.67,102.0
16,39.5,0.22,508.0,0.97,335.0
17,40.0,0.11,334.0,1.36,188.0
18,40.5,0.05,276.0,1.79,23.0
19,41.0,0.02,276.0,2.26,52.0
20,41.5,,0.0,2.75,75.0
21,42.0,,0.0,3.25,136.0
22,42.5,,0.0,3.75,80.0
23,43.0,,0.0,4.25,94.0
24,43.5,,0.0,4.75,90.0
25,44.0,,0.0,5.25,28.0
26,44.5,,0.0,5.75,27.0
27,45.0,,0.0,6.25,30.0
28,45.5,,0.0,6.75,6.0
29,46.0,,0.0,7.25,59.0
30,47.0,,0.0,8.05,125.0
