,0,1,2,3,4
0,30.0,8.65,70.0,,0.0
1,30.5,8.2,6.0,,0.0
2,31.0,7.7,15.0,,0.0
3,31.5,7.2,7.0,,0.0
4,32.0,6.7,7.0,,0.0
5,32.5,6.2,8.0,,0.0
6,33.0,5.7,7.0,,0.0
7,33.5,5.2,14.0,,0.0
8,34.0,4.7,85.0,,0.0
9,34.5,4.2,103.0,,0.0
10,35.0,3.7,142.0,,0.0
11,35.5,3.2,74.0,,0.0
12,36.0,2.72,86.0,,0.0
13,36.5,2.23,68.0,0.02,259.0
14,37.0,1.75,23.0,0.04,303.0
15,37.5,1.3,79.0,0.07,237.0
16,38.0,0.87,62.0,0.14,329.0
17,38.5,0.5,137.0,0.27,253.0
18,39.0,0.24,287.0,0.51,112.0
19,39.5,0.1,195.0,0.86,204.0
20,40.0,0.03,211.0,1.28,50.0
21,40.5,0.01,219.0,1.77,140.0
22,41.0,,0.0,2.26,189.0
23,41.5,,0.0,2.77,23.0
24,42.0,,0.0,3.25,272.0
25,42.5,,0.0,3.75,261.0
26,43.0,,0.0,4.25,129.0
27,43.5,,0.0,4.75,74.0
28,44.0,,0.0,5.25,225.0
29,44.5,,0.0,5.75,130.0
30,45.0,,0.0,6.25,274.0
31,45.5,,0.0,6.75,154.0
32,46.0,,0.0,7.25,175.0
33,47.0,,0.0,8.25,15.0
