,Transaction Date,Strike Date,Buy / Sell,Type,Strike Price,Premium Price,Quantity,Change in Cash (USD)
0,2019-11-20 12:49:00,2019-11-29 00:00:00,Sell,Call,129.0,6.4,3,1907
1,2019-11-20 12:49:00,2019-11-29 00:00:00,Sell,Put,140.0,5.4,3,1607
