,Strike Date,Sold Date,Type,Strike Price,Sold Price,Sold Quantity
0,2019-11-29 00:00:00,2019-11-20 12:49:00,Call,129.0,6.4,3
1,2019-11-29 00:00:00,2019-11-20 12:49:00,Put,140.0,5.4,3
